Name,Genre,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
Kingdoms of Amalur: Reckoning,Role-Playing,X360,Electronic Arts,38 Studios,,,,0.87,0.55,0.24,0.01,0.07,2012
LEGO Dimensions,Action,X360,Warner Bros. Interactive Entertainment,Traveller's Tales,,,,0.87,0.49,0.31,,0.08,2015
Final Fantasy XIV Online,MMO,PS3,Square Enix,Square Enix,,,,0.87,0.39,0.09,0.28,0.11,2013
The Evil Within,Misc,PS3,Bethesda Softworks,Tango Gameworks,,,,0.87,0.27,0.35,0.13,0.12,2014
Paper Mario: Color Splash,Action-Adventure,WiiU,Nintendo,Intelligent Systems,7.4,6.4,,0.87,0.35,0.37,0.08,0.06,2016
Mario Party: Star Rush,Party,3DS,Nintendo,"Nd Cube Co., Ltd.",6.2,,,0.87,0.25,0.37,0.2,0.05,2016
For Honor,Action,XOne,Ubisoft,Ubisoft Montreal,,,,0.87,0.57,0.21,,0.08,2017
Wii Fit U,Misc,WiiU,Nintendo,Nintendo,7.2,,,0.86,0.35,0.24,0.21,0.06,2014
Final Fantasy X / X-2 HD Remaster,Role-Playing,PSV,Square Enix,Square Enix,,,,0.86,0.16,0.29,0.28,0.13,2014
Dishonored 2,Action,XOne,Bethesda Softworks,Arkane Studios,,,,0.86,0.47,0.31,,0.08,2016
Plants vs. Zombies: Garden Warfare 2,Shooter,XOne,Electronic Arts,PopCap Games,,,,0.86,0.47,0.32,,0.08,2016
LEGO Batman 2: DC Super Heroes,Action-Adventure,3DS,Warner Bros. Interactive Entertainment,TT Fusion,,,,0.86,0.42,0.37,,0.07,2012
Bayonetta 2,Action,WiiU,Nintendo,PlatinumGames,9.3,,,0.86,0.37,0.32,0.1,0.06,2014
Kingdoms of Amalur: Reckoning,Role-Playing,PS3,Electronic Arts,38 Studios,,,,0.85,0.37,0.29,0.09,0.1,2012
Thief,Action,PS4,Square Enix,Eidos Montreal,,,,0.85,0.28,0.41,0.03,0.13,2014
Disney Infinity 3.0,Action,PS4,Disney Interactive Studios,Avalanche Software,,,,0.85,0.31,0.4,,0.14,2015
LEGO Jurassic World,Action,3DS,Warner Bros. Interactive Entertainment,TT Fusion,,,,0.85,0.35,0.39,0.04,0.07,2015
Darksiders II,Action-Adventure,PS3,THQ,Vigil Games,8.3,,,0.85,0.35,0.37,0.01,0.13,2012
Xenoblade Chronicles X,Role-Playing,WiiU,Nintendo,Monolith Soft,8.1,,,0.84,0.34,0.29,0.15,0.06,2015
Lego Batman 3: Beyond Gotham,Action,PS3,Warner Bros. Interactive Entertainment,Traveller's Tales,,,,0.84,0.34,0.36,,0.14,2014
ZombiU,Action,WiiU,Ubisoft,Ubisoft Montpellier,6.9,,,0.84,0.35,0.37,0.05,0.07,2012
Street Fighter X Tekken,Fighting,PS3,Capcom,Capcom,,,,0.84,0.42,0.22,0.1,0.1,2012
MLB 13: The Show,Sports,PS3,Sony Computer Entertainment,SCE San Diego Studio,8.5,,,0.84,0.68,,,0.16,2013
NCAA Football 12,Sports,PS3,EA Sports,EA Tiburon,7.7,,,0.83,0.78,,,0.06,2011
Madden NFL 25,Sports,XOne,EA Sports,EA Tiburon,7.1,,,0.83,0.69,0.06,,0.09,2013
Call of Duty: Modern Warfare 3,Shooter,Wii,Activision,Infinity Ward,4.5,,,0.83,0.55,0.2,,0.08,2011
Dragon Age II,Role-Playing,PS3,Electronic Arts,BioWare Corp.,7.7,,,0.83,0.4,0.26,0.05,0.12,2011
Rayman Origins,Platform,Wii,Ubisoft,Ubisoft,9.5,,0.83,,,,,,2011
Twisted Metal (2012),Action,PS3,Sony Computer Entertainment,Eat Sleep Play,7.9,,,0.83,0.67,0.07,,0.09,2012
Guitar Hero Live,Music,XOne,Activision,FreeStyleGames,,,,0.83,0.52,0.23,,0.08,2015
FIFA 17,Sports,X360,Electronic Arts,EA Canada,,,,0.82,0.2,0.56,,0.06,2016
The Crew 2,Racing,PS4,Ubisoft,Ivory Tower,6.5,,,0.82,0.22,0.42,0.05,0.12,2018
Professor Layton vs Ace Attorney,Adventure,3DS,Nintendo,Level 5,8.1,,,0.82,0.2,0.27,0.3,0.04,2014
Yokai Watch 3: Sukiyaki,Role-Playing,3DS,Nintendo,Level 5,,,,0.81,,,0.81,,2019
DmC Devil May Cry,Action,PS3,Capcom,Ninja Theory,,,,0.81,0.24,0.29,0.19,0.1,2013
Madden NFL 16,Sports,PS3,EA Sports,EA Tiburon,8,,,0.81,0.6,0.07,,0.15,2015
Football Manager 2015,Simulation,PC,Sega,Sports Interactive,,,0.81,,,,,,2014
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,Action,PS4,Square Enix,Square Enix,,,,0.81,0.21,0.14,0.39,0.07,2015
LEGO Dimensions,Action,PS3,Warner Bros. Interactive Entertainment,Traveller's Tales,,,,0.81,0.26,0.41,,0.13,2015
Professor Layton and the Azran Legacy,Puzzle,3DS,Nintendo,Level 5,8,,,0.81,,0.53,0.25,0.03,2014
Need for Speed Rivals,Racing,X360,Electronic Arts,Ghost Games,,,,0.81,0.38,0.35,0.01,0.07,2013
Mario & Sonic at the Sochi 2014 Olympic Winter Games,Sports,WiiU,Nintendo,Sega Sports R&D,5.9,,,0.8,0.37,0.23,0.14,0.06,2013
Rhythm Heaven Megamix,Music,3DS,Nintendo,Nintendo,8.8,,,0.8,,0.06,0.73,0,2016
The Amazing Spider-Man (2012),Action-Adventure,PS3,Activision,Beenox,7.3,,,0.8,0.31,0.36,,0.12,2012
WWE 2K15,Sports,PS3,2K Sports,Visual Concepts,,,,0.8,0.37,0.29,,0.13,2014
Dragon's Dogma,Role-Playing,X360,Capcom,Capcom,,,,0.79,0.42,0.24,0.07,0.06,2012
Assassin's Creed The Ezio Collection,Action,PS4,Ubisoft,Ubisoft,,,,0.79,0.14,0.52,0.02,0.12,2016
Darksiders II,Action-Adventure,X360,THQ,Vigil Games,8.6,,,0.79,0.45,0.27,0,0.07,2012
Prototype 2,Action,X360,Activision,Radical Entertainment,,,,0.79,0.48,0.24,,0.06,2012
NBA 2K16,Sports,PS3,2K Sports,Visual Concepts,,,,0.79,0.49,0.12,0.05,0.13,2015
Football Manager 2014,Sports,PC,Sega,Sports Interactive,8.4,,0.79,,,,,,2013
Dragon Quest Monsters 2,Role-Playing,3DS,Square Enix,TOSE Software,,,,0.79,,,0.79,,2014
Final Fantasy XIV: A Realm Reborn,MMO,PS4,Square Enix,Square Enix,,,,0.79,0.35,0.23,0.08,0.12,2014
Red Faction: Armageddon,Shooter,PC,THQ,Volition Inc.,7.3,,0.79,,,,,,2011
Destiny: The Collection,Shooter,PS4,Activision,Bungie,,,,0.78,0.24,0.4,0.02,0.12,2016
Shadow of the Tomb Raider,Action-Adventure,XOne,Square Enix,Eidos Montreal,,,,0.78,0.46,0.25,,0.07,2018
Fight Night Champion,Fighting,X360,EA Sports,EA Canada,8.4,,,0.78,0.4,0.31,,0.07,2011
Aliens: Colonial Marines,Shooter,X360,Sega,Gearbox Software,,,,0.78,0.36,0.35,,0.07,2013
LEGO Jurassic World,Action,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,,,,0.78,0.44,0.27,,0.07,2015
Rayman Origins,Platform,X360,Ubisoft,Ubisoft,9,,,0.78,0.38,0.32,,0.08,2011
Goldeneye 007: Reloaded,Shooter,PS3,Activision,Eurocom,7.4,,,0.78,0.33,0.33,,0.12,2011
Mass Effect: Andromeda,Role-Playing,XOne,Electronic Arts,BioWare Corp.,,,,0.78,0.5,0.2,,0.07,2017
Hitman,Action,PS4,Square Enix,IO Interactive,,,,0.78,0.24,0.36,0.06,0.11,2017
Dragon Age: Inquisition,Role-Playing,PC,Electronic Arts,BioWare Edmonton,,,,0.78,0.38,0.33,,0.07,2014
ABBA: You Can Dance,Misc,Wii,Ubisoft,Ubisoft,,,,0.77,0.18,0.5,,0.1,2011
Prototype 2,Action,PS3,Activision,Radical Entertainment,,,,0.77,0.38,0.28,,0.11,2012
UFC Personal Trainer: The Ultimate Fitness System,Sports,X360,THQ,THQ,6,,,0.77,0.53,0.18,,0.06,2011
Resident Evil: Operation Raccoon City,Shooter,X360,Capcom,Slant Six Games,,,,0.77,0.55,0.14,0.03,0.06,2012
The Sims 3,Simulation,3DS,Electronic Arts,The Sims Studio,5.6,,,0.77,0.3,0.38,0.03,0.07,2011
Valkyria Chronicles,Role-Playing,PC,Sega,Sega,,,0.77,,,,,,2014
Battlefield 1,Shooter,PC,Electronic Arts,EA DICE,,,,0.77,0.3,0.41,,0.06,2016
Lego Marvel Super Heroes,Action,WiiU,Warner Bros. Interactive Entertainment,Traveller's Tales,,,,0.76,0.31,0.36,0.03,0.06,2013
FIFA Soccer 12,Sports,Wii,EA Sports,EA Canada,,,,0.76,0.15,0.51,,0.1,2011
Resident Evil: Revelations,Action,PS3,Capcom,Capcom,7.6,,,0.76,0.14,0.32,0.22,0.09,2013
Just Dance 2019,Music,NS,Ubisoft,Ubisoft Paris,,,,0.76,0.43,0.26,,0.07,2018
Just Dance 2018,Music,NS,Ubisoft,Ubisoft Paris,8,,,0.76,0.3,0.4,,0.06,2017
PokePark 2: Wonders Beyond,Action-Adventure,Wii,Nintendo,Creatures Inc.,6.5,,,0.76,0.26,0.19,0.27,0.04,2012
Assassin's Creed: Revelations,Action,PC,Ubisoft,Ubisoft Montreal,,,,0.76,0.16,0.49,,0.11,2011
Ratchet & Clank Collection,Platform,PS3,Sony Computer Entertainment,Idol Minds,,,,0.75,0.47,0.14,0.02,0.12,2012
Wolfenstein: The New Order,Shooter,XOne,Bethesda Softworks,MachineGames,,,,0.75,0.39,0.3,,0.06,2014
LEGO City Undercover,Platform,PS4,Warner Bros. Interactive Entertainment,TT Fusion,8,,,0.75,0.17,0.46,0.01,0.12,2017
Fire Emblem Echoes: Shadows of Valentia,Role-Playing,3DS,Nintendo,Intelligent Systems,8.3,,,0.75,0.34,0.16,0.21,0.05,2017
LEGO Worlds,Misc,PC,Warner Bros. Interactive Entertainment,Traveller's Tales,,,0.75,,,,,,2015
Disney Infinity 2.0: Marvel Super Heroes,Action-Adventure,PS4,Disney Interactive Studios,Avalanche Software,8,,,0.75,0.37,0.25,,0.13,2014
Style Savvy: Trendsetters,Simulation,3DS,Nintendo,syn Sophia,,,,0.75,0.16,0.03,0.54,0.02,2012
FIFA 19,Sports,NS,Electronic Arts,EA Sports,5.9,,,0.75,0.18,0.47,0.06,0.05,2018
Skylanders: Trap Team,Action-Adventure,WiiU,Activision,Toys for Bob,,,,0.75,0.42,0.26,,0.07,2014
Just Dance 2015,Music,WiiU,Ubisoft,Ubisoft Paris,,,,0.75,0.4,0.29,,0.07,2014
The Evil Within,Misc,PC,Bethesda Softworks,Tango Gameworks,5.5,,0.74,,,,,,2014
Super Street Fighter IV: Arcade Edition,Fighting,PS3,Capcom,Capcom / Dimps Corporation,8.1,,0.74,,,,,,2011
Need for Speed (2015),Racing,XOne,Electronic Arts,Ghost Games,6.7,,,0.74,0.35,0.33,,0.06,2015
Sonic Forces,Platform,NS,Sega,Sonic Team,5.4,,,0.74,0.39,0.27,0.01,0.06,2017
The Amazing Spider-Man (2012),Action-Adventure,X360,Activision,Beenox,6.8,,,0.74,0.43,0.24,,0.07,2012
Brink,Shooter,PS3,Bethesda Softworks,Splash Damage,7.1,,,0.73,0.29,0.32,0.01,0.12,2011
Crysis 2,Shooter,PC,Electronic Arts,Crytek,8.7,,,0.73,0.16,0.45,,0.12,2011
Final Fantasy XIII-2,Role-Playing,X360,Square Enix,Square Enix,,,,0.73,0.36,0.29,0.02,0.06,2012
The Sims 4,Simulation,XOne,Electronic Arts,Maxis,,,,0.73,0.42,0.24,,0.07,2017
Need for Speed: Payback,Racing,XOne,Electronic Arts,Ghost Games,5.9,,,0.73,0.42,0.24,,0.07,2017
MLB 14 The Show,Sports,PS4,Sony Computer Entertainment,SCE San Diego Studio,8.3,,,0.73,0.59,,,0.14,2014
Just Dance Wii,Misc,Wii,Nintendo,Unknown,,,,0.73,,,0.73,,2011
Monster Hunter Generations Ultimate,Action,NS,Capcom,Capcom,7.7,,,0.72,0.27,0.14,0.27,0.04,2018
Devil May Cry HD Collection,Action,PS3,Capcom,Capcom,,,0.72,,,,,,2012
The LEGO Movie Videogame,Action-Adventure,3DS,Warner Bros. Interactive Entertainment,TT Fusion,,,,0.72,0.28,0.33,0.05,0.05,2014
LEGO Dimensions,Action,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,,,,0.72,0.47,0.18,,0.07,2015
Deus Ex: Mankind Divided,Role-Playing,PS4,Square Enix,Eidos Montreal,,,,0.72,0.25,0.34,0.01,0.12,2016
Mortal Kombat (2011),Fighting,PSV,Warner Bros. Interactive Entertainment,NetherRealm Studios,8.8,,,0.71,0.42,0.15,,0.15,2012
The Crew,Racing,XOne,Ubisoft,Ubisoft Reflections,,,,0.71,0.32,0.34,,0.06,2014
God of War: Origins Collection,Action,PS3,Sony Computer Entertainment,Ready at Dawn,8.6,,0.71,,,,,,2011
The LEGO Movie Videogame,Action-Adventure,PS4,Warner Bros. Interactive Entertainment,TT Fusion,6,,,0.71,0.26,0.32,0.01,0.11,2014
Monster Hunter 3 Ultimate,Role-Playing,WiiU,Capcom,Capcom,8.7,,,0.71,0.24,0.2,0.22,0.04,2013
SSX,Sports,X360,EA Sports,EA Canada,,,,0.71,0.38,0.26,0,0.06,2012
Plants vs Zombies: Garden Warfare,Shooter,XOne,Electronic Arts,PopCap Games,7.6,,,0.71,0.39,0.25,0,0.06,2014
LEGO Batman 2: DC Super Heroes,Action-Adventure,DS,Warner Bros. Interactive Entertainment,TT Fusion,,,,0.71,0.39,0.25,,0.06,2012
Prey (2017),Shooter,PC,Bethesda Softworks,Arkane Studios,,,0.7,,,,,,2017
Disney Infinity 2.0: Marvel Super Heroes,Action-Adventure,WiiU,Disney Interactive Studios,Avalanche Software,,,,0.7,0.41,0.22,,0.06,2014
Skylanders: Trap Team,Platform,PS3,Activision,Toys for Bob,,,,0.7,0.28,0.3,,0.12,2014
Mario & Sonic at the Rio 2016 Olympic Games,Sports,3DS,Nintendo,Arzest,,,,0.7,0.1,0.29,0.28,0.03,2016
Need for Speed Rivals,Racing,XOne,Electronic Arts,Ghost Games,,,,0.7,0.45,0.19,,0.07,2013
NHL 12,Sports,X360,EA Sports,EA Canada,8.8,,,0.7,0.55,0.1,,0.05,2011
Marvel vs. Capcom: Infinite,Fighting,PS4,Capcom,Capcom,,,,0.7,0.36,0.19,0.04,0.11,2017
Wolfenstein II: The New Colossus,Shooter,XOne,Bethesda Softworks,MachineGames,,,,0.7,0.45,0.19,,0.07,2017
The Sims: Medieval,Simulation,PC,Electronic Arts,The Sims Studio,7.2,,,0.7,0.29,0.32,,0.09,2011
Monster Hunter Stories,Role-Playing,3DS,Capcom,Marvelous,8.1,,,0.7,0.14,0.15,0.39,0.03,2017
Rocksmith 2014,Music,PC,Ubisoft,Ubisoft San Francisco,9,,,0.7,0.39,0.24,,0.06,2016
Driver: San Francisco,Racing,X360,Ubisoft,Ubisoft Reflections,8.1,,,0.7,0.25,0.37,0,0.07,2011
FIFA 13,Sports,Wii,EA Sports,EA Canada,,,,0.69,0.18,0.46,,0.06,2012
The Evil Within,Misc,XOne,Bethesda Softworks,Tango Gameworks,7.9,,,0.69,0.36,0.27,0,0.06,2014
Fortnite,Shooter,NS,Warner Bros. Interactive Entertainment,Epic Games,8.5,,,0.69,0.38,0.24,0.01,0.06,2018
Top Spin 4,Sports,PS3,2K Sports,2K Czech,8.2,,,0.69,0.17,0.4,,0.12,2011
Kirby's Dream Collection: Special Edition,Platform,Wii,Nintendo,HAL Laboratory,8,,,0.69,0.33,,0.33,0.03,2012
Mario Party: The Top 100,Misc,3DS,Nintendo,"Nd Cube Co., Ltd.",5,,,0.69,0.23,0.17,0.24,0.04,2017
Rayman Legends,Platform,NS,Ubisoft,Ubisoft Montpellier,4.5,,,0.69,0.23,0.4,,0.05,2017
LEGO Worlds,Misc,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,,,,0.69,0.28,0.35,,0.05,2017
Test Drive Unlimited 2,Racing,X360,Atari,Eden Studios,6.8,,,0.68,0.3,0.32,0,0.06,2011
Rayman Legends,Platform,WiiU,Ubisoft,Ubisoft Montpellier,9.5,,,0.68,0.25,0.35,0.03,0.05,2013
Company of Heroes 2,Misc,PC,Sega,Relic,,,0.68,,,,,,2013
Lalaloopsy,Simulation,DS,Activision,Activision,,,,0.68,0.51,0.1,,0.07,2011
NHL 13,Sports,X360,Electronic Arts,EA Canada,8.2,,,0.68,0.51,0.11,,0.06,2012
Need for Speed: Shift 2 Unleashed,Racing,PS3,Electronic Arts,Slightly Mad Studios,8.4,,,0.67,0.2,0.36,,0.12,2011
Lollipop Chainsaw,Action,PS3,Warner Bros. Interactive Entertainment,Grasshopper Manufacture,,,,0.67,0.27,0.21,0.11,0.08,2012
Call of Duty: Ghosts,Shooter,PC,Activision,Infinity Ward,8.8,,,0.67,0.26,0.36,,0.05,2013
Rocksmith 2014,Music,PS4,Ubisoft,Ubisoft San Francisco,,,,0.67,0.38,0.17,,0.12,2016
Disney Infinity,Action-Adventure,WiiU,Disney Interactive Studios,Avalanche Software,7.6,,,0.67,0.37,0.24,,0.06,2013
Resident Evil VII: Biohazard,Action,PC,Capcom,Capcom,7.9,,0.67,,,,,,2017
LEGO Marvel Super Heroes 2,Action,NS,Warner Bros. Interactive Entertainment,Traveller's Tales,,,,0.67,0.31,0.29,0.01,0.06,2017
Fossil Fighters: Champions,Role-Playing,DS,Nintendo,RED Entertainment,,,,0.67,0.31,,0.34,0.02,2011
Plants vs Zombies: Garden Warfare,Shooter,PS3,Electronic Arts,PopCap Games,,,,0.66,0.22,0.32,0.01,0.11,2014
NHL 13,Sports,PS3,Electronic Arts,EA Canada,8.3,,,0.66,0.33,0.23,,0.1,2012
Book of Spells,Misc,PS3,Sony Computer Entertainment,SCEE London Studio,6.5,,,0.66,0.16,0.4,,0.11,2012
2014 FIFA World Cup Brazil,Sports,PS3,EA Sports,EA Canada,7.9,,,0.66,0.15,0.4,0.01,0.1,2014
WWE 2K18,Sports,XOne,2K Sports,Yuke's,,,,0.66,0.35,0.25,,0.06,2017
London 2012: The Official Video Game of the Olympic Games,Sports,PS3,Sega,Sega Studios Australia,6.2,,,0.66,0.06,0.49,,0.12,2012
FIFA 15,Sports,PSV,EA Sports,EA Canada,,,,0.66,0.09,0.38,0.06,0.13,2014
The LEGO Movie Videogame,Action-Adventure,WiiU,Warner Bros. Interactive Entertainment,TT Fusion,,,,0.66,0.33,0.24,0.03,0.05,2014
NHL 16,Sports,PS4,EA Sports,EA Canada,,,,0.66,0.38,0.16,,0.12,2015
Freedom Wars,Misc,PSV,Sony Computer Entertainment,SCE Japan Studio,,,,0.66,0.15,0.1,0.32,0.08,2014
Resident Evil: Revelations 2,Action,PC,Capcom,Capcom,,,0.66,,,,,,2015
Plants vs Zombies: Garden Warfare,Shooter,PS4,Electronic Arts,PopCap Games,,,,0.66,0.24,0.3,0.01,0.11,2014
Tomb Raider: Definitive Edition,Action-Adventure,XOne,Square Enix,Crystal Dynamics,,,,0.66,0.38,0.22,,0.06,2014
Spyro Reignited Trilogy,Platform,XOne,Activision,Toys for Bob,,,,0.65,0.36,0.24,,0.06,2018
Angry Birds Trilogy,Puzzle,3DS,Activision,Exient Entertainment,,,,0.65,0.38,0.22,,0.06,2012
The LEGO Movie Videogame,Action-Adventure,XOne,Warner Bros. Interactive Entertainment,TT Fusion,,,,0.65,0.42,0.17,,0.06,2014
Crash Bandicoot N. Sane Trilogy,Platform,XOne,Activision,Vicarious Visions,,,,0.65,0.23,0.37,,0.05,2018
Dragon Quest Monsters Joker 3,Role-Playing,3DS,Square Enix,TOSE,,,,0.65,,,0.65,,2016
Yakuza Zero,Adventure,PS4,Sega,Sega,,,,0.65,0.22,0.16,0.19,0.08,2017
LEGO Dimensions,Action,WiiU,Warner Bros. Interactive Entertainment,Traveller's Tales,,,,0.65,0.37,0.22,,0.06,2015
LEGO City Undercover,Platform,NS,Warner Bros. Interactive Entertainment,TT Fusion,8,,,0.65,0.23,0.33,0.03,0.05,2017
Far Cry 4,Shooter,PC,Ubisoft,Ubisoft Montreal,8.5,,,0.65,0.19,0.41,,0.05,2014
Batman: Return to Arkham,Action,PS4,Warner Bros. Interactive Entertainment,Rocksteady Studios,,,,0.64,0.15,0.39,0.01,0.1,2016
Rayman 3D,Platform,3DS,Ubisoft,Ubisoft,6.3,,,0.64,0.23,0.36,,0.06,2011
WWE 2K15,Sports,X360,2K Sports,Visual Concepts,,,,0.64,0.38,0.21,,0.06,2014
LittleBigPlanet 3,Platform,PS3,Sony Computer Entertainment,Sumo Digital,,,,0.64,0.2,0.33,0.01,0.1,2014
The Walking Dead: Survival Instinct,Shooter,X360,Activision,Terminal Reality,,,,0.64,0.46,0.11,,0.06,2013
Just Dance 2014,Music,WiiU,Ubisoft,Ubisoft Paris,7.5,,,0.64,0.34,0.25,,0.06,2013
Dungeon Siege III,Role-Playing,PC,Square Enix,Obsidian Entertainment,7.3,,0.64,,,,,,2011
Scribblenauts: Unlimited,Puzzle,3DS,Warner Bros. Interactive Entertainment,5TH Cell,,,,0.64,0.57,0.01,,0.07,2012
Aliens: Colonial Marines,Shooter,PS3,Sega,Gearbox Software,,,,0.64,0.2,0.33,,0.1,2013
The Sims 3: Generations,Simulation,PC,Electronic Arts,The Sims Studio,6.5,,,0.63,0.4,0.23,,,2011
Just Dance 3,Misc,PS3,Ubisoft,Ubisoft Paris,,,,0.63,0.34,0.21,,0.09,2011
Dragon Age II,Role-Playing,PC,Electronic Arts,BioWare Corp.,7.9,,,0.63,0.23,0.33,,0.08,2011
LEGO The Incredibles,Action,NS,Warner Bros. Interactive Entertainment,Traveller's Tales,6.5,,,0.63,0.35,0.21,0.01,0.06,2018
Assassin's Creed IV: Black Flag,Action-Adventure,PC,Ubisoft,Ubisoft Montreal,8.5,,,0.63,0.24,0.34,,0.05,2013
Plants vs. Zombies: Garden Warfare 2,Shooter,PS4,Electronic Arts,PopCap Games,,,,0.63,0.22,0.31,,0.1,2016
LEGO Pirates of the Caribbean: The Video Game,Action,3DS,Disney Interactive Studios,TT Fusion,7,,,0.63,0.29,0.28,,0.06,2011
FIFA Soccer,Misc,PSV,EA Sports,EA Canada,,,,0.63,0.16,0.35,0.02,0.09,2012
Test Drive Unlimited 2,Racing,PS3,Atari,Eden Studios,6.9,,,0.63,0.16,0.35,0.01,0.11,2011
LEGO The Hobbit,Action-Adventure,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,,,,0.62,0.14,0.39,,0.1,2014
World of Final Fantasy,Role-Playing,PS4,Square Enix,Square Enix,,,,0.62,0.24,0.21,0.09,0.09,2016
Disney Universe,Action,PS3,Disney Interactive Studios,Disney Interactive Studios,7.4,,,0.62,0.3,0.23,,0.09,2011
South Park: The Fractured But Whole,Role-Playing,XOne,Ubisoft,Ubisoft San Francisco,,,,0.62,0.4,0.17,,0.06,2017
The Black Eyed Peas Experience,Misc,Wii,Ubisoft,Ubisoft,,,,0.62,0.37,0.19,,0.06,2011
NHL 15,Sports,PS4,EA Sports,EA Canada,,,,0.62,0.32,0.19,,0.11,2014
Dragon Quest Monsters: Joker 2 Professional,Role-Playing,DS,Square Enix,TOSE Software,,,,0.62,,,0.62,,2011
Tiger Woods PGA Tour 12: The Masters,Sports,X360,EA Sports,EA Tiburon,,,,0.62,0.4,0.16,,0.05,2011
Just Dance 2015,Music,X360,Ubisoft,Ubisoft Paris,,,,0.61,0.42,0.13,,0.06,2014
WWE 2K15,Sports,XOne,2K Sports,Visual Concepts,,,,0.61,0.32,0.23,,0.05,2014
Skylanders SWAP Force,Platform,WiiU,Activision,Unknown,,,,0.61,0.39,0.16,,0.06,2013
Rayman Legends,Platform,PS3,Ubisoft,Ubisoft Montpellier,,,,0.61,0.14,0.38,,0.09,2013
New Play Control! Pikmin 2,Strategy,Wii,Nintendo,Nintendo EAD,8.7,,,0.61,0.11,0.13,0.34,0.02,2012
EA Sports UFC 2,Sports,XOne,EA Sports,EA Canada,,,,0.61,0.36,0.19,,0.06,2016
Dragon Age: Inquisition,Role-Playing,PS3,Electronic Arts,BioWare Edmonton,,,,0.61,0.27,0.18,0.06,0.09,2014
Doom 3 BFG Edition,Misc,PC,Bethesda Softworks,Unknown,,,0.6,,,,,,2012
L.A. Noire,Adventure,PS4,Rockstar Games,Team Bondi,,,,0.6,0.18,0.32,,0.1,2017
Wolfenstein: The Old Blood,Shooter,PC,Bethesda Softworks,MachineGames,,,0.6,,,,,,2015
Shogun 2: Total War,Strategy,PC,Sega,The Creative Assembly,9,,0.6,,,,,,2011
NHL 17,Sports,XOne,EA Sports,EA Canada,,,,0.6,0.52,0.01,,0.06,2016
Just Dance 2016,Music,WiiU,Ubisoft,Ubisoft Paris,,,,0.6,0.29,0.25,,0.05,2015
Gravity Rush,Action-Adventure,PSV,Sony Computer Entertainment,SCE Japan Studio,,,,0.6,0.21,0.2,0.09,0.1,2012
MLB 11: The Show,Sports,PS3,Sony Computer Entertainment,SCEA San Diego Studios,8.9,,,0.59,0.55,,,0.05,2011
Skylanders: SuperChargers,Action-Adventure,WiiU,Activision,Vicarious Visions,8,,,0.59,0.32,0.22,,0.05,2015
Titanfall,Shooter,PC,Electronic Arts,Respawn Entertainment,,,,0.59,0.24,0.31,,0.05,2014
Assassin's Creed: Brotherhood,Action,PC,Ubisoft,Ubisoft Montreal,8.7,,,0.59,0.16,0.34,,0.09,2011
Yakuza 5,Adventure,PS3,Sega,Sega,,,0.59,,,,,,2015
Hot Shots Golf: World Invitational,Sports,PSV,Sony Computer Entertainment,Clap Hanz,,,,0.59,0.15,0.12,0.26,0.06,2012
Remember Me,Misc,PC,Capcom,DONTNOD Entertainment,,,0.59,,,,,,2013
Rayman Origins,Platform,PSV,Ubisoft,UBIart Montpellier,,,,0.59,0.12,0.37,0,0.1,2012
Alice: Madness Returns,Adventure,PS3,Electronic Arts,Spicy Horse,6.7,,,0.59,0.22,0.24,0.04,0.08,2011
Final Fantasy Explorers,Role-Playing,3DS,Square Enix,Square Enix,7.3,,,0.59,0.17,0.1,0.29,0.03,2016
Skylanders: Spyro's Adventure,Action,3DS,Activision,Toys for Bob,,,,0.58,0.33,0.2,,0.05,2011
Call of Duty: Modern Warfare Remastered,Shooter,PS4,Activision,Infinity Ward,,,,0.58,0.17,0.3,0.03,0.09,2017
Dragon Quest Builders: Revive Alefgard,Role-Playing,PS4,Square Enix,Square Enix,,,,0.58,0.12,0.17,0.24,0.06,2016
LEGO Worlds,Misc,NS,Warner Bros. Interactive Entertainment,Traveller's Tales,5,,,0.58,0.21,0.33,0,0.04,2017
Sonic & Sega All-Stars Racing Transformed,Racing,X360,Sega,Sumo Digital,,,,0.58,0.2,0.34,,0.05,2012
Sly Cooper: Thieves in Time,Platform,PS3,Sony Computer Entertainment,Sanzaru Games,,,,0.58,0.35,0.13,,0.1,2013
Middle-Earth: Shadow of Mordor,Action,PS3,Warner Bros. Interactive Entertainment,Monolith Productions,,,,0.58,0.22,0.26,0.01,0.09,2014
NHL 12,Sports,PS3,EA Sports,EA Canada,8.6,,,0.58,0.36,0.16,,0.07,2011
Phineas and Ferb: Across the 2nd Dimension,Action,Wii,Disney Interactive Studios,High Impact Games,,,,0.58,0.35,0.18,,0.05,2011
Pro Evolution Soccer 2012,Sports,PSP,Konami,Konami,,,,0.58,0.11,0.12,0.29,0.07,2011
Deus Ex: Human Revolution,Shooter,PC,Square Enix,Eidos Montreal,8.7,,,0.58,0.25,0.26,,0.08,2011
